#threads, exec_time, speedup
1S, .277406100, 1
1, .272932000, 1.016392
2, .173358600, 1.600186
3, .154191000, 1.799106
4, .135634800, 2.045242
#threads, exec_time, speedup
1S, .299716800, 1
1, .313866700, .954917
2, .198638000, 1.508859
3, .156542800, 1.914599
4, .145612900, 2.058312
