#threads, exec_time, speedup
1S, .828721200, 1
1, .822689100, 1.007332
2, .465326700, 1.780944
3, .395984700, 2.092811
4, .329512300, 2.514993
#threads, exec_time, speedup
1S, .827730700, 1
1, .933575300, .886624
2, .668397800, 1.238380
3, .433276200, 1.910399
4, .393413100, 2.103973
