#threads, exec_time, speedup
1S, 3.799075900, 1
1, 3.788663700, 1.002748
2, 2.134261000, 1.780042
3, 1.722496900, 2.205563
4, 1.486687800, 2.555395
#threads, exec_time, speedup
1S, 4.296447400, 1
