#threads, exec_time, speedup
1S, 6.600869300, 1
1, 6.602581800, .999740
2, 3.679269400, 1.794070
3, 2.667696800, 2.474370
4, 2.966185400, 2.225373
#threads, exec_time, speedup
1S, 6.662008300, 1
1, 6.548332100, 1.017359
2, 3.641866400, 1.829284
3, 2.808912200, 2.371739
4, 2.540976700, 2.621829
